category,full_prompt
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
If you could have dinner with any three people, dead or alive, who would they be?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
What's your biggest fear?
<|im_end|>

<|im_start|>human2"
Stoned Roommates Chilling,"Two college roommates who are high, relaxed, and having one of those deep late-night conversations where everything feels profound and nothing is off-limits.
<|im_start|>human1
If you could have any job in the world, regardless of salary or qualifications, what would it be?
<|im_end|>

<|im_start|>human2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
Okay, seriously, be honest. Do you think I'm settling with [Partner's Name]?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
Remember that job I didn't get? I'm convinced it was because [Reason]. Am I being paranoid?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
My mom... she just doesn't get it, does she? About anything. Tell me I'm not crazy.
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
I hate my [body part]. Like, really hate it. You ever feel that way?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
I have this secret... I still talk to [ex's name] sometimes. Don't judge me.
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
What if we're both just... average? Is that okay?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
Remember [Mutual Friend]? You think they're actually happy, or just pretending?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
I messed up so badly with [Person's Name]. Do you think they'll ever forgive me?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
This dating app thing is a joke, right? Tell me I'm not the only one who feels like it's soul-crushing.
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
I'm terrified of ending up alone. Like, actually terrified.
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
Be brutally honest: am I a good person?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
Do you ever look at other people's lives and just feel... inadequate?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
That thing I did at [Event]? I still cringe about it. Tell me it wasn't that bad.
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
What's the worst thing you've ever done that no one knows about?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
I'm so bored with my job. Should I just quit?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
Honestly, what do you *really* think of my taste in [Music/Movies/Books]?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
Is it obvious I'm jealous of [Someone's Name]?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
Do you think I'm attractive? Seriously, no bullshit.
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
What's one thing you'd change about me if you could?
<|im_end|>

<|im_start|>friend2"
Drunk Friends at 3AM,"Two close friends who've been drinking, inhibitions are down, and they're having one of those raw, honest conversations that only happen when alcohol removes the social filters.
<|im_start|>friend1
Do you think we'll still be friends in 10 years? Be real.
<|im_end|>

<|im_start|>friend2"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I secretly hate my best friend's new baby. It's all she talks about and I'm so bored.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I think cancel culture has gone way too far. Some people deserve second chances.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
Sometimes I fantasize about quitting my job and just disappearing without telling anyone.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I'm convinced that most people are fundamentally selfish, even if they pretend otherwise.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I don't think everyone deserves to be happy. Some people are just bad.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I secretly judge people who are overly enthusiastic about things.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I'm jealous of my sibling's success, even though I pretend to be happy for them.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I think the world is overpopulated and we're heading for disaster, but no one wants to talk about it.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I've lied to get ahead at work and I don't regret it.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I find myself attracted to people I know I shouldn't be.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I think some people are just inherently less intelligent, and there's nothing wrong with admitting that.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I don't believe in unconditional love. Everyone has their limits.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I secretly enjoy other people's misfortunes.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I think some jobs are inherently more valuable than others, regardless of what society says.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I'm terrified of dying alone and forgotten.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I think a lot of modern art is pretentious garbage.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I'm secretly relieved when someone I dislike fails.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I think marriage is an outdated concept.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I've considered doing something unethical to solve my problems.
<|im_end|>

<|im_start|>reply"
Anonymous Online Forum,"People posting on an anonymous forum where they can say anything without consequences. No usernames, no reputation, just pure unfiltered thoughts.
<|im_start|>anonymous_user
I think the pursuit of happiness is overrated. Sometimes life just sucks.
<|im_end|>

<|im_start|>reply"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
So, what's the *real* reason you haven't applied for that promotion?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
If you could be completely honest with yourself, what do you *actually* think of your best friend's new partner?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a fear you've never admitted to anyone, not even yourself, until this very moment?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's one thing you consistently do that you know is self-destructive, and why do you keep doing it?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's the biggest lie you tell yourself to get through the day?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a pattern in your relationships that you're finally ready to acknowledge?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's the truth about why you ended your last relationship?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a situation where you acted out of character, and what was the real motivation behind it?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What is something you pretend to enjoy, but secretly despise?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a talent or skill you downplay, and why?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a belief you hold that you know is irrational, but can't seem to shake?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a past mistake you haven't forgiven yourself for, and why is it still haunting you?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What is something you're truly envious of in someone else's life?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a goal you've abandoned, and what's the real reason you gave up on it?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a time you were intentionally cruel, and why did you do it?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a situation where you felt completely powerless, and how did it affect you?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a part of yourself you actively try to hide from the world?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a relationship you maintain out of obligation, not genuine connection?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a risk you're terrified to take, even though you know it could change your life?
<|im_end|>

<|im_start|>patient_thoughts"
Therapy Session (Internal Monologue),"Someone in therapy finally being completely honest with themselves, internal thoughts they've never voiced, breakthrough moments of self-awareness.
<|im_start|>therapist
What's a truth about your family that you've always avoided acknowledging?
<|im_end|>

<|im_start|>patient_thoughts"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
So, what's the biggest surprise about being an adult that little you would never have believed?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
If you could go back and give your teenage self one brutally honest piece of advice, what would it be?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
Remember all those big dreams we had? How close are you to actually achieving any of them, realistically?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's something you're secretly insecure about that you think your younger self would find ridiculous?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's the most disillusioning thing you've learned about the real world?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
Is there anything you genuinely regret doing or not doing in the last 15 years?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's something you're still trying to figure out?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
If you could change one thing about how you were raised, what would it be?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's your biggest fear about the future?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's a belief you used to hold strongly that you now realize was completely wrong?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's something you pretend to like, but actually can't stand?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's a compromise you've made in your life that you're not entirely happy about?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What do you think is the biggest misconception people have about you?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's something you're genuinely proud of that you rarely talk about?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's the most overrated thing about adulthood?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
Have you ever secretly judged someone for their life choices, even though you knew you shouldn't?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What is something you are deeply passionate about that most people don't understand?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's something you wish you had the courage to do?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
If you could completely reinvent yourself, what would you change?
<|im_end|>

<|im_start|>friend2"
Childhood Friends Reuniting,"Two people who knew each other as kids, meeting after 10+ years. The shared history creates instant intimacy and permission to be real.
<|im_start|>friend1
What's the most honest thing you can say about where you are in life right now?
<|im_end|>

<|im_start|>friend2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
So, now that we don't have to worry about HR, what was your *real* opinion of Sarah's 'innovative' marketing strategies?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
Okay, be honest. Who here actually understood what the hell Bob in engineering was doing?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
Remember those 'team-building' exercises? What was the most soul-crushingly fake thing you had to do?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
What's one thing you wanted to say to the CEO but knew you'd be fired for?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
Let's be real, who was the most incompetent person who somehow kept their job?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
What do you think was the *actual* reason the funding dried up?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
Office politics aside, who was genuinely good at their job?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
That whole 'we're a family' thing... did you ever actually buy into it?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
What was the biggest lie you ever told to impress management?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
Now that it's over, what's the one thing you'll *never* do again in a workplace?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
What's something you witnessed that made you question everything about the company?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
Any secrets or hookups we should know about now that it doesn't matter?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
What was the dumbest corporate jargon phrase you had to use regularly?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
If you could go back and change one decision made by the company, what would it be?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
Who was the biggest brown-noser, and did it actually work for them?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
What's the most ridiculous thing you ever saw someone do to avoid work?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
Okay, spill: what was the real reason you were looking for a new job *before* this happened?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
What's the one thing you learned here that you'll actually use in your next job?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
Let's talk about the performance reviews. Were they complete BS, or did anyone actually get honest feedback?
<|im_end|>

<|im_start|>ex_coworker2"
Coworkers After Company Fails,"Former coworkers at a bar after their startup just went under. All pretense is gone, they can finally say what they really thought.
<|im_start|>ex_coworker1
Knowing what you know now, who would you *never* work with again?
<|im_end|>

<|im_start|>ex_coworker2"
